0,SansHead,ClosedEyes,
0,SansText,...,
0,SansHead,Default
0,CombatZoneResize,161,266,486,391,,,,
0,HeartTeleport,320,334,,,,,,
0,HeartMode,1,,,,,,,
0,Ball,400,160,270,230,4
0.4,SansHead,sans10
0,SansTorso,sans10
0,SansLegs,sans10
0,BoneVRepeat,496,370,20,2,100,50,100,
3,BoneVRepeat,161,268,20,0,100,50,100,
3,BoneVRepeat,161,268,70,0,100,50,100,2
0,BoneVRepeat,496,330,70,2,100,50,100,2
2,SansSlam,3,,,,,,,
0,FlipToAngle,90,,,,,,,
2,SansSlam,1,,,,,,,
0,FlipToAngle,270,,,,,,,
2,SansSlam,3,,,,,,,
0,FlipToAngle,180,,,,,,,
2,SansSlam,1,,,,,,,
0,FlipToAngle,0,,,,,,,
2,HeartMode,0,,,,,,,
0,BoneVRepeat,161,360,30,0,100,50,170,
0,BoneVRepeat,161,268,70,0,100,50,170,
0,BoneVRepeat,496,268,30,2,100,50,170,
0,BoneVRepeat,496,320,70,2,100,50,170,
0.5,SET,Loop,10,,,,,,
0,SUB,Loop,$Loop,1,,,,,
0,RND,Ang,360,,,,,,
0,COS,X,$Ang,,,,,,
0,SIN,Y,$Ang,,,,,,
0,MUL,EndX,$X,200,,,,,
0,MUL,EndY,$Y,200,,,,,
0,MUL,X,$X,400,,,,,
0,MUL,Y,$Y,300,,,,,
0,GetHeartPos,HeartX,HeartY,,,,,,
0,ADD,EndX,$EndX,$HeartX,,,,,
0,ADD,EndY,$EndY,$HeartY,,,,,
0,ADD,X,$X,$HeartX,,,,,
0,ADD,Y,$Y,$HeartY,,,,,
0,JMPNL,44,$EndX,50,,,,,
0,SET,EndX,50,,,,,,
0,JMPNG,46,$EndX,590,,,,,
0,SET,EndX,590,,,,,,
0,JMPNL,48,$EndY,40,,,,,
0,SET,EndY,40,,,,,,
0,JMPNG,50,$EndY,440,,,,,
0,SET,EndY,440,,,,,,
0,ANGLE,Ang,$EndX,$EndY,$HeartX,$HeartY,,,
0,GasterBlaster,0,$X,$Y,$EndX,$EndY,$Ang,0.46666,0
0.5,JMPNZ,29,$Loop,,,,,,
0,Ball,400,100,270,220,4
0.7,EndAttack,,,,,,,,
