0,SansHead,ClosedEyes,
0,SansText,...,
0,CombatZoneResize,33,251,608,391
0,HeartTeleport,320,306,,,,,
0,HeartMode,0,,,,,,
0,Ball,400,160,270,230,4
0,Ball,65,160,270,230,4
0.4,SansHead,sans6,
0,SansTorso,sans6
0,SansLegs,sans6,
0.5,SansSlam,1
0,Sound,Kaiten,1
0,BoneVRepeat,503,366,20,2,180,8,240
0,BoneVRepeat,128,366,20,0,180,8,240
0.003,FlipToAngle,1
0.003,FlipToAngle,2
0.003,FlipToAngle,3
0.003,FlipToAngle,4
0.003,FlipToAngle,5
0.003,FlipToAngle,6
0.003,FlipToAngle,7
0.003,FlipToAngle,8
0.003,FlipToAngle,9
0.003,FlipToAngle,10
0.003,FlipToAngle,11
0.003,FlipToAngle,12
0.003,FlipToAngle,13
0.003,FlipToAngle,14
0.003,FlipToAngle,15
0.003,FlipToAngle,16
0.003,FlipToAngle,17
0.003,FlipToAngle,18
0.003,FlipToAngle,19
0.003,FlipToAngle,20
0.003,FlipToAngle,21
0.003,FlipToAngle,22
0.003,FlipToAngle,23
0.003,FlipToAngle,24
0.003,FlipToAngle,25
0.003,FlipToAngle,26
0.003,FlipToAngle,27
0.003,FlipToAngle,28
0.003,FlipToAngle,29
0.003,FlipToAngle,30
0.003,FlipToAngle,31
0.003,FlipToAngle,32
0.003,FlipToAngle,33
0.003,FlipToAngle,34
0.003,FlipToAngle,35
0.003,FlipToAngle,36
0.003,FlipToAngle,37
0.003,FlipToAngle,38
0.003,FlipToAngle,39
0.003,FlipToAngle,40
0.003,FlipToAngle,41
0.003,FlipToAngle,42
0.003,FlipToAngle,43
0.003,FlipToAngle,44
0.003,FlipToAngle,45
0.003,FlipToAngle,46
0.003,FlipToAngle,47
0.003,FlipToAngle,48
0.003,FlipToAngle,49
0.003,FlipToAngle,50
0.003,FlipToAngle,51
0.003,FlipToAngle,52
0.003,FlipToAngle,53
0.003,FlipToAngle,54
0.003,FlipToAngle,55
0.003,FlipToAngle,56
0.003,FlipToAngle,57
0.003,FlipToAngle,58
0.003,FlipToAngle,59
0.003,FlipToAngle,60
0.003,FlipToAngle,61
0.003,FlipToAngle,62
0.003,FlipToAngle,63
0.003,FlipToAngle,64
0.003,FlipToAngle,65
0.003,FlipToAngle,66
0.003,FlipToAngle,67
0.003,FlipToAngle,68
0.003,FlipToAngle,69
0.003,FlipToAngle,70
0.003,FlipToAngle,71
0.003,FlipToAngle,72
0.003,FlipToAngle,73
0.003,FlipToAngle,74
0.003,FlipToAngle,75
0.003,FlipToAngle,76
0.003,FlipToAngle,77
0.003,FlipToAngle,78
0.003,FlipToAngle,79
0.003,FlipToAngle,80
0.003,FlipToAngle,81
0.003,FlipToAngle,82
0.003,FlipToAngle,83
0.003,FlipToAngle,84
0.003,FlipToAngle,85
0.003,FlipToAngle,86
0.003,FlipToAngle,87
0.003,FlipToAngle,88
0.003,FlipToAngle,89
0.003,FlipToAngle,90
0.003,FlipToAngle,91
0.003,FlipToAngle,92
0.003,FlipToAngle,93
0.003,FlipToAngle,94
0.003,FlipToAngle,95
0.003,FlipToAngle,96
0.003,FlipToAngle,97
0.003,FlipToAngle,98
0.003,FlipToAngle,99
0.003,FlipToAngle,100
0.003,FlipToAngle,101
0.003,FlipToAngle,102
0.003,FlipToAngle,103
0.003,FlipToAngle,104
0.003,FlipToAngle,105
0.003,FlipToAngle,106
0.003,FlipToAngle,107
0.003,FlipToAngle,108
0.003,FlipToAngle,109
0.003,FlipToAngle,110
0.003,FlipToAngle,111
0.003,FlipToAngle,112
0.003,FlipToAngle,113
0.003,FlipToAngle,114
0.003,FlipToAngle,115
0.003,FlipToAngle,116
0.003,FlipToAngle,117
0.003,FlipToAngle,118
0.003,FlipToAngle,119
0.003,FlipToAngle,120
0.003,FlipToAngle,121
0.003,FlipToAngle,122
0.003,FlipToAngle,123
0.003,FlipToAngle,124
0.003,FlipToAngle,125
0.003,FlipToAngle,126
0.003,FlipToAngle,127
0.003,FlipToAngle,128
0.003,FlipToAngle,129
0.003,FlipToAngle,130
